quarter,h_act,h_exp_flat,m_flat,h_exp_pooled,h_exp_base,m_pooled,m_base
2013Q1,0.010663787341251478,0.014232613433090693,0.7492501213064827,0.010671492540592811,0.010371253226346182,0.999277964229275,1.028206245525099
2013Q2,0.011171317987370137,0.014860673265743278,0.7517370032703823,0.011113635552051564,0.010853379514911023,1.0051902399577899,1.0292939606527451
2013Q3,0.01277020760505101,0.01521881807472178,0.8391063972478997,0.01161309322064276,0.011254293304945807,1.0996387751672767,1.1346965339386543
2013Q4,0.011396908352485597,0.015473244634674298,0.7365558175785601,0.012143942721954924,0.011681456830085556,0.9384850219921763,0.9756410110708876
2014Q1,0.011204653031282203,0.01572624559448038,0.7124811172486603,0.012815765257451832,0.012244848379060378,0.8742866934744428,0.9150503693000407
2014Q2,0.01201905242384224,0.01587870781805839,0.7569288736564145,0.01336556553923948,0.012732412201819188,0.8992550587220525,0.9439729277791505
2014Q3,0.014238031507489882,0.01597347629150453,0.8913545960601174,0.013855780336397491,0.013177003946506352,1.027587848667625,1.0805211537684059
2014Q4,0.013541895587200294,0.016001445164365902,0.8462920347567823,0.013899810488844816,0.013308029126764976,0.9742503754326892,1.0175733354809817
2015Q1,0.013306125202374527,0.016005112039021167,0.8313672013000352,0.013934407352844881,0.013370794989449675,0.9549114551798945,0.9951633551238969
2015Q2,0.015329350438344108,0.01602669340775168,0.9564886560399111,0.01395002353113093,0.013412177335828456,1.0988763140173252,1.1429427194788302
2015Q3,0.017356657020971927,0.01594164017862933,1.08876231218915,0.013859673796350626,0.01335453957090736,1.2523135303185915,1.2996821739016082
2015Q4,0.01609026156308209,0.015780258335189853,1.0196450033521272,0.01367479428763362,0.013186648942038482,1.1766364615541474,1.2201933663212199
2016Q1,0.0168005649433727,0.015763635688976225,1.0657798286420446,0.013827565942002787,0.013287091372921564,1.2150052304100099,1.264427591550354
2016Q2,0.02108288503250636,0.01579779870073808,1.3345457447512203,0.014884085315474069,0.014068029220701552,1.416471659873367,1.4986381320193896
2016Q3,0.026074351830152158,0.01589946989584058,1.6399510172960798,0.01555946526855683,0.014781937274075936,1.6757871417884918,1.763933329353283
2016Q4,0.025496099510130134,0.015961312349253434,1.5973686218428447,0.015923923411426635,0.015223196899469564,1.6011191997968748,1.6748190067106414
2017Q1,0.027311905570652172,0.016009402220169146,1.7059915913814558,0.01627008883906604,0.01560611330830003,1.6786574333308908,1.7500773595002979
2017Q2,0.030181449050605928,0.016057453913701253,1.8795911987549392,0.016346728772085574,0.01582343090120161,1.84632959116231,1.907389695638889
